matrix_id,recon_type,pattern_type,parameter_value,samp_rat,arr_size,seed,M,N_pixels,mean,var,std,contrast,entropy,autocorrelation width,effective_rank,cond_number,mutual coherence,nmse,psnr,ssim,runtime
Ridge_gaussian_medium_size32_samprat30_seed47,Ridge,Gaussian,medium,30,32,47,307,1024,0.5000142116248673,0.05758275006505038,0.23996405994450581,0.47991447915895946,9.778889138556341,2.0,218,83.3724547563161,0.880695618710728,3.6426575452870313,8.733476163088799,0.24285376254784488,0.00047730000369483605
CGI_gaussian_high_size32_samprat30_seed47,CGI,Gaussian,high,30,32,47,307,1024,0.5001289903469227,0.12913420241176268,0.3593524765627234,0.718519588941913,7.635529437483777,2.0,246,54.69780517024202,0.7789832145272901,4.458636905801648,7.855638539134368,0.04409469085806303,0.0024542000028304756
DGI_gaussian_high_size32_samprat30_seed47,DGI,Gaussian,high,30,32,47,307,1024,0.5001289903469227,0.12913420241176268,0.3593524765627234,0.718519588941913,7.635529437483777,2.0,246,54.69780517024202,0.7789832145272901,4.275508591643422,8.037781769482017,0.20959332697895763,0.002649800000654068
Ridge_gaussian_high_size32_samprat30_seed47,Ridge,Gaussian,high,30,32,47,307,1024,0.5001289903469227,0.12913420241176268,0.3593524765627234,0.718519588941913,7.635529437483777,2.0,246,54.69780517024202,0.7789832145272901,3.0972350641712065,9.437917931155015,0.2588164492080494,0.0011280999970040284
CGI_gaussian_low_size32_samprat60_seed47,CGI,Gaussian,low,60,32,47,614,1024,0.4999981734684479,0.027722353185019154,0.16650030986463404,0.3330018362053236,9.997480831920797,2.0,375,333.6001955177749,0.9270206028815662,4.795219216980906,7.539574943821017,0.03761396196897622,0.00169159999495605
DGI_gaussian_low_size32_samprat60_seed47,DGI,Gaussian,low,60,32,47,614,1024,0.4999981734684479,0.027722353185019154,0.16650030986463404,0.3330018362053236,9.997480831920797,2.0,375,333.6001955177749,0.9270206028815662,2.6453964834254555,10.122751885403138,0.305714166058468,0.0004792000036104582
Ridge_gaussian_low_size32_samprat60_seed47,Ridge,Gaussian,low,60,32,47,614,1024,0.4999981734684479,0.027722353185019154,0.16650030986463404,0.3330018362053236,9.997480831920797,2.0,375,333.6001955177749,0.9270206028815662,2.452062527526435,10.452344199501436,0.39803963868643377,0.0012219999989611097
CGI_gaussian_medium_size32_samprat60_seed47,CGI,Gaussian,medium,60,32,47,614,1024,0.5000112853207743,0.057540123523491984,0.2398752249055579,0.4797396217791165,9.777264316282832,2.0,431,234.20556101437467,0.8632995261386456,4.9536140379055515,7.398437950316944,0.03736700369325281,0.002449300001899246
DGI_gaussian_medium_size32_samprat60_seed47,DGI,Gaussian,medium,60,32,47,614,1024,0.5000112853207743,0.057540123523491984,0.2398752249055579,0.4797396217791165,9.777264316282832,2.0,431,234.20556101437467,0.8632995261386456,2.6637555656099043,10.092715903035483,0.30590856531026295,0.0006028999996487983
Ridge_gaussian_medium_size32_samprat60_seed47,Ridge,Gaussian,medium,60,32,47,614,1024,0.5000112853207743,0.057540123523491984,0.2398752249055579,0.4797396217791165,9.777264316282832,2.0,431,234.20556101437467,0.8632995261386456,2.1160411510473303,11.092418511838193,0.4175667184322909,0.001030900006298907
CGI_gaussian_high_size32_samprat60_seed47,CGI,Gaussian,high,60,32,47,614,1024,0.5000061384237814,0.12890601782275288,0.35903484207351366,0.7180608686217663,7.6421332553990435,2.0,477,156.4747618066776,0.7525333326758112,5.074968503672905,7.293326091646904,0.047080842243155355,0.001528500004496891
DGI_gaussian_high_size32_samprat60_seed47,DGI,Gaussian,high,60,32,47,614,1024,0.5000061384237814,0.12890601782275288,0.35903484207351366,0.7180608686217663,7.6421332553990435,2.0,477,156.4747618066776,0.7525333326758112,2.57233285734467,10.244387952672247,0.3146456202572172,0.002804900002956856
Ridge_gaussian_high_size32_samprat60_seed47,Ridge,Gaussian,high,60,32,47,614,1024,0.5000061384237814,0.12890601782275288,0.35903484207351366,0.7180608686217663,7.6421332553990435,2.0,477,156.4747618066776,0.7525333326758112,1.9994842428273105,11.338479744611051,0.4190195892635087,0.0006110999966040254
CGI_gaussian_low_size32_samprat90_seed47,CGI,Gaussian,low,90,32,47,921,1024,0.5000004917058691,0.027721522048031046,0.1664978139437003,0.33299530041524744,9.997549761759092,2.0,533,1706.3716573510417,0.9254180478908637,4.758742244108673,7.572737784336182,0.03343359097335778,0.0005332000000635162
DGI_gaussian_low_size32_samprat90_seed47,DGI,Gaussian,low,90,32,47,921,1024,0.5000004917058691,0.027721522048031046,0.1664978139437003,0.33299530041524744,9.997549761759092,2.0,533,1706.3716573510417,0.9254180478908637,2.419159062446775,10.511015357804766,0.35455067258190825,0.002032700002018828
Ridge_gaussian_low_size32_samprat90_seed47,Ridge,Gaussian,low,90,32,47,921,1024,0.5000004917058691,0.027721522048031046,0.1664978139437003,0.33299530041524744,9.997549761759092,2.0,533,1706.3716573510417,0.9254180478908637,1.2903322904500287,13.240643948446989,0.5763956744722681,0.0007268000044859946
CGI_gaussian_medium_size32_samprat90_seed47,CGI,Gaussian,medium,90,32,47,921,1024,0.5000202255438302,0.057567763371563954,0.23993283095809118,0.4798462516124352,9.776919467710107,2.0,607,1274.051877639117,0.8578394660626302,4.646668030505373,7.676243139232957,0.0352649512490768,0.0006005999966873787
DGI_gaussian_medium_size32_samprat90_seed47,DGI,Gaussian,medium,90,32,47,921,1024,0.5000202255438302,0.057567763371563954,0.23993283095809118,0.4798462516124352,9.776919467710107,2.0,607,1274.051877639117,0.8578394660626302,2.345997198032393,10.644384713595452,0.3583011167491006,0.00039540000580018386
Ridge_gaussian_medium_size32_samprat90_seed47,Ridge,Gaussian,medium,90,32,47,921,1024,0.5000202255438302,0.057567763371563954,0.23993283095809118,0.4798462516124352,9.776919467710107,2.0,607,1274.051877639117,0.8578394660626302,1.0850715690259054,13.993075761601393,0.6065628274286224,0.0006522000039694831
CGI_gaussian_high_size32_samprat90_seed47,CGI,Gaussian,high,90,32,47,921,1024,0.5000381299689038,0.1289218950162122,0.35905695232958823,0.7180591455119614,7.636125357886845,2.0,667,798.3420885826988,0.7431190823346875,4.573799569969687,7.74488831113814,0.04666798746423997,0.0008009000011952594
DGI_gaussian_high_size32_samprat90_seed47,DGI,Gaussian,high,90,32,47,921,1024,0.5000381299689038,0.1289218950162122,0.35905695232958823,0.7180591455119614,7.636125357886845,2.0,667,798.3420885826988,0.7431190823346875,2.9422152336523415,9.660915206741674,0.33685010931286286,0.00041509999573463574
Ridge_gaussian_high_size32_samprat90_seed47,Ridge,Gaussian,high,90,32,47,921,1024,0.5000381299689038,0.1289218950162122,0.35905695232958823,0.7180591455119614,7.636125357886845,2.0,667,798.3420885826988,0.7431190823346875,1.0442535887308209,14.159599839784722,0.6192998224772751,0.0009208999981638044
CGI_correlated noise_small_size32_samprat30_seed47,CGI,Correlated noise,small,30,32,47,307,1024,0.501133290655827,0.0837032273454158,0.2893151004448537,0.5773216544158406,10.000000000000002,2.0,235,65.08993123156326,0.8238470964384965,4.467950480322645,7.8465760938481335,0.17527727930849066,0.0013982999953441322
DGI_correlated noise_small_size32_samprat30_seed47,DGI,Correlated noise,small,30,32,47,307,1024,0.501133290655827,0.0837032273454158,0.2893151004448537,0.5773216544158406,10.000000000000002,2.0,235,65.08993123156326,0.8238470964384965,4.377049708471762,7.935844816782808,0.20677080060701647,0.0031103000001166947
Ridge_correlated noise_small_size32_samprat30_seed47,Ridge,Correlated noise,small,30,32,47,307,1024,0.501133290655827,0.0837032273454158,0.2893151004448537,0.5773216544158406,10.000000000000002,2.0,235,65.08993123156326,0.8238470964384965,3.238013092220771,9.244873600362196,0.25766162469647624,0.0014034999985597096
CGI_correlated noise_moderate_size32_samprat30_seed47,CGI,Correlated noise,moderate,30,32,47,307,1024,0.4983616737806915,0.028678907813951465,0.16934848040047915,0.33981040138062996,10.000000000000002,4.0,140,519.7758113809138,0.984941934397935,5.806775876367896,6.70830896505152,0.15113752227913368,0.0025650999959907494
DGI_correlated noise_moderate_size32_samprat30_seed47,DGI,Correlated noise,moderate,30,32,47,307,1024,0.4983616737806915,0.028678907813951465,0.16934848040047915,0.33981040138062996,10.000000000000002,4.0,140,519.7758113809138,0.984941934397935,3.843137264514126,8.500800640902003,0.28893471310370916,0.0009760000029928051
